PhoenixVersion,3.7.2
PS_narrow_tail_param_decay2_per_bank_3,-0.0580117
PS_narrow_tail_param_decay2_per_bank_4,-0.0462436
PS_narrow_tail_param_RMSE_log_per_bank_1,211964
PS_narrow_tail_param_RMSE_log_per_bank_2,526254
PS_narrow_tail_param_RMSE_log_per_bank_3,386690
PS_narrow_tail_param_RMSE_log_per_bank_4,570538
PS_narrow_tail_param_RMSE_per_bank_1,0.169499
PS_narrow_tail_param_RMSE_per_bank_2,0.190656
PS_narrow_tail_param_RMSE_per_bank_3,0.189885
PS_narrow_tail_param_RMSE_per_bank_4,0.196486
PS_narrow_interference_level_per_bank_1,8.01026e-06
PS_narrow_interference_level_per_bank_2,8.02464e-06
PS_narrow_interference_level_per_bank_3,1.22425e-05
PS_narrow_interference_level_per_bank_4,1.20307e-05
PS_narrow_original_interference_level_per_bank_1,2.53639e-05
PS_narrow_original_interference_level_per_bank_2,2.18374e-05
PS_narrow_original_interference_level_per_bank_3,3.57077e-05
PS_narrow_original_interference_level_per_bank_4,3.23182e-05
PS_narrow_percentage_of_outlying_interference_pulses_per_bank_1,0.00625
PS_narrow_percentage_of_outlying_interference_pulses_per_bank_2,0.00208333
PS_narrow_percentage_of_outlying_interference_pulses_per_bank_3,0.00555556
PS_narrow_percentage_of_outlying_interference_pulses_per_bank_4,0.00555556
PS_narrow_num_of_zeros_per_bank_1,1
PS_narrow_num_of_zeros_per_bank_2,1
PS_narrow_num_of_zeros_per_bank_3,1
PS_narrow_num_of_zeros_per_bank_4,1
PS_stray_1_percent_min_tof_per_bank_1,834.76
PS_stray_1_percent_min_tof_per_bank_2,840.762
PS_stray_1_percent_min_tof_per_bank_3,833.005
PS_stray_1_percent_min_tof_per_bank_4,839.647
PulseShapeProcessor_error_id,
PulseShapeProcessor_error_msg,
ToFabsSkewsSlopeXY_1,-0.289255
ToFabsSkewsSlopeXY_2,1.10812
ToFabsBiasSTD_1,2.34718
ToFabsBiasSTD_2,2.25177
ToFabsBiasSTD_3,2.24208
ToFabsBiasSTD_4,2.42786
ToFabsBiasP95_1,153.471
ToFabsBiasP95_2,152.715
ToFabsBiasP95_3,152.749
ToFabsBiasP95_4,154.247
ToFhighestBias_1,7.41018
ToFhighestBias_2,6.40048
ToFhighestBias_3,6.34579
ToFhighestBias_4,6.73696
ToFwideMinusNarrow_1,-63.5955
ToFwideMinusNarrow_2,-63.0492
ToFwideMinusNarrow_3,-62.5459
ToFwideMinusNarrow_4,-62.6774
ToFwideMinusNarrow_5,-63.5357
ToFwideMinusNarrow_6,-63.2586
ToFwideMinusNarrow_7,-62.7758
ToFwideMinusNarrow_8,-63.0429
TOFCalibrator_error_id,
TOFCalibrator_error_msg,
p2pscan_length,250
p2pscan_num_left_adjust,0
p2pscan_num_right_adjust,0
p2pscan_num_top_adjust,0
p2pscan_num_bottom_adjust,0
P2PScanPreProcessor_error_id,
P2PScanPreProcessor_error_msg,
P2P_img_Num_Pixs_low_confidence,0
P2P_mean_temp,43.7384
P2P_mean_vbd,432.111
P2P_range_temp,4.10156
P2P_range_vbd,42
P2P_img_Num_of_NaN_Pixs_nvm,0
P2P_img_Num_of_NaN_Pixs_afdr,2
P2P_img_qs_mu_patch_minVal,0.0611868
P2P_img_qs_mu_patch_minInd,121
P2P_img_qs_mu_patch_maxVal,0.0839507
P2P_img_qs_mu_patch_maxInd,67
P2P_img_qs_sigma_patch_maxVal,0.00739367
P2P_img_qs_sigma_patch_maxInd,144
P2P_img_qs_99p_patch_maxVal,0.0860701
P2P_img_qs_99p_patch_maxInd,66
P2P_img_qs_1p_patch_minVal,0.0399933
P2P_img_qs_1p_patch_minInd,1
P2P_img_qs_min_frame,0.0354731
P2P_img_qs_max_frame,0.0868515
P2P_img_qs_mu_frame,0.0732671
P2P_img_qs_99p_frame,0.0844304
P2P_img_qs_1p_frame,0.0613015
P2P_imgScan_ref_qs_mu,0.102625
P2P_imgScan_ref_qs_sigma,0.000543175
P2P_img_skew_sigma_patch_maxVal,10.7852
P2P_img_skew_sigma_patch_maxInd,143
P2P_img_skew_sigma_patch_minVal,7.24542
P2P_img_skew_sigma_patch_minInd,57
P2P_img_skew_99p_patch_maxVal,29.466
P2P_img_skew_99p_patch_maxInd,131
P2P_img_skew_99p_patch_minVal,17.6909
P2P_img_skew_99p_patch_minInd,57
P2P_img_skew_sigma_frame,9.11442
P2P_img_skew_99p_frame,23.2074
P2P_imgScan_refTof_std_frame,13.7583
P2P_imgScan_refTof_diff_noise_frame,1.39897
P2P_img_skew_99p7_superpixel,38.1414
P2P_img_skew_range_1pix_single_95p,36.4858
P2P_img_skew_range_1pix_single_max,46.2725
P2P_img_skew_range_1pix_super_95p,17.5906
P2P_img_skew_range_1pix_super_max,23.2586
P2P_img_skew_range_2pix_single_95p,43.1701
P2P_img_skew_range_2pix_single_max,48.9096
P2P_img_skew_range_2pix_super_95p,23.0051
P2P_img_skew_range_2pix_super_max,29.5236
P2P_img_skew_range_3pix_single_95p,47.7517
P2P_img_skew_range_3pix_single_max,59.5517
P2P_img_skew_range_3pix_super_95p,27.6158
P2P_img_skew_range_3pix_super_max,35.4172
P2P_img_skew_range_4pix_single_95p,50.7065
P2P_img_skew_range_4pix_single_max,60.8382
P2P_img_skew_range_4pix_super_95p,32.1903
P2P_img_skew_range_4pix_super_max,42.4803
P2P_tdc_Num_NaNs_TDCPix,0
P2P_tdc_sigma_E2A,2.75986
P2P_tdc_sigma_SE2A,2.61043
P2P_tdc_sigma_S2A,2.67596
P2P_tdc_sigma_frame,2.84831
P2P_tdc_99_frame,7.87712
P2P_Scan_Ver,3
P2P_SW_Ver,2
P2P_NVMScan_Ver,4
P2P_img_skew_scale,1
P2P_ref_skew_scale,1
P2P_tdc_skew_scale,1
P2P_img_num_pix_out_nvm,0
P2P_ref_num_pix_out_nvm,0
RefScan_imgStray_tof_precision_mean,1.56918
RefScan_imgStray_tof_precision_99p,3.2837
RefScan_imgStray_tof_precision_1p,0
RefScan_imgStray_tof_Diffprecision_mean,1.34399
RefScan_imgStray_tof_Diffprecision_99p,3.90446
RefScan_imgStray_tof_Diffprecision_1p,0
P2PProcessor_error_id,
P2PProcessor_error_msg,
DQ_PD_median_per_region_100cm_WPSG_01,1
